,Q1,Q2,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
645,5,1,1,2,2,2,2,7,7,1,1,2,1,2,2,4,3,1,1,2,3,2,2,1,1,2
648,3,1,1,1,1,1,2,7,5,1,1,2,2,2,2,2,3,1,2,2,1,2,1,2,2,2
651,3,1,1,2,1,1,1,8,9,1,1,2,1,2,2,3,3,1,1,2,1,1,2,1,1,2
654,4,1,1,1,1,2,2,7,7,1,1,1,1,2,2,4,3,1,1,2,2,2,1,1,1,2
660,4,1,1,1,1,1,1,8,5,1,1,2,1,2,2,3,3,1,1,2,1,1,2,1,2,2
663,3,1,21,1,1,1,2,8,10,2,2,2,2,2,2,2,4,1,1,2,5,1,2,1,1,2
670,5,1,1,1,1,2,1,7,8,1,1,2,2,2,2,3,5,1,1,1,2,1,2,2,1,2
672,6,1,1,1,1,1,1,8,7,2,2,2,2,2,2,2,3,1,1,2,4,2,2,2,2,2
678,2,1,1,2,1,2,1,8,5,1,1,2,2,2,2,4,3,1,1,2,1,1,1,1,1,2
685,3,1,1,1,1,2,1,6,10,1,1,1,1,2,1,4,1,1,1,2,3,2,2,2,2,2
686,6,1,1,1,1,1,2,7,6,2,2,2,1,2,2,5,5,1,1,2,4,1,2,2,1,2
691,6,1,1,1,1,1,1,9,7,2,2,2,1,2,2,5,5,1,1,2,2,2,1,1,1,2
693,4,1,1,2,1,1,2,7,8,1,2,2,2,2,2,5,5,1,1,1,1,1,1,1,1,2
695,5,1,1,2,2,1,2,7,8,1,2,2,1,2,2,3,5,1,1,2,1,1,2,2,1,2
700,2,1,1,2,1,2,1,7,8,1,1,2,1,2,2,3,5,1,1,2,2,1,2,2,1,1
702,4,1,1,1,1,1,2,5,5,1,1,2,1,2,2,4,3,1,1,2,4,2,2,1,1,1
707,4,1,1,1,1,1,2,7,6,1,2,2,1,2,2,3,5,1,1,2,4,2,2,2,2,2
708,3,1,1,1,1,1,1,6,7,2,2,2,1,2,2,2,3,1,1,2,3,2,2,2,2,2
714,5,1,1,1,1,2,1,7,8,2,2,1,1,2,2,4,5,1,1,2,3,2,2,2,2,2
721,3,1,1,2,1,2,2,6,5,1,1,1,1,2,2,1,3,1,1,2,5,2,2,2,2,2
722,5,1,1,2,1,2,1,8,7,1,1,2,1,2,2,3,5,1,1,2,2,2,2,1,1,2
724,6,1,1,2,2,2,1,6,8,1,1,2,2,2,2,3,5,1,1,2,2,1,2,2,1,1
725,6,2,1,2,1,2,1,7,7,2,2,2,2,2,1,5,3,1,1,2,2,1,2,2,2,2
727,2,2,1,2,1,1,1,6,7,2,2,2,2,2,1,3,3,1,1,1,2,2,2,2,2,2
730,5,1,1,2,2,1,2,7,8,2,2,2,1,2,2,2,4,1,1,1,2,2,2,1,1,2
731,3,1,1,2,2,2,2,7,8,1,1,2,1,2,2,3,5,1,1,1,3,1,2,1,1,1
732,3,1,1,1,1,1,1,8,8,1,2,1,1,2,2,2,3,1,1,2,3,2,2,2,2,2
733,5,1,1,1,1,1,1,7,6,2,2,1,2,2,2,4,3,1,1,1,3,2,2,2,2,2
734,5,1,1,2,1,1,2,7,8,2,1,2,1,2,2,2,4,1,1,2,1,2,2,1,2,2
740,3,1,1,2,2,1,1,8,8,2,2,1,2,2,2,4,3,1,1,2,4,1,2,2,2,2
741,5,1,1,1,1,1,1,7,7,1,2,1,1,2,1,3,4,1,1,2,4,1,2,2,1,2
742,4,1,1,1,1,1,2,7,6,1,2,2,1,2,2,4,3,3,5,2,3,1,2,1,1,2
745,3,1,1,1,1,1,1,9,4,1,1,2,1,2,2,4,3,1,4,2,3,1,2,2,2,2
749,4,1,1,2,2,2,2,8,9,2,2,2,1,2,2,4,3,1,1,2,3,1,2,1,1,2
750,3,1,1,1,1,1,2,8,8,2,2,1,1,2,2,3,5,1,1,2,2,2,1,1,1,2
751,2,1,1,1,1,1,1,8,6,2,2,2,1,2,2,2,4,1,1,2,3,1,2,2,2,2
752,6,1,1,1,1,1,1,7,5,1,2,2,2,2,2,3,5,1,1,1,2,1,2,2,2,2
753,4,1,1,1,1,1,2,7,4,2,2,2,1,2,1,4,4,3,5,1,1,1,2,2,2,2
758,4,1,1,1,1,1,2,4,5,2,2,2,1,2,2,4,3,1,1,1,1,2,2,2,2,2
759,5,1,1,2,1,1,1,7,5,1,2,1,1,2,2,2,4,1,1,2,2,2,2,2,2,2
760,3,1,1,1,1,1,1,8,5,1,1,2,2,2,2,2,3,1,1,1,1,1,2,2,1,2
762,5,1,1,1,2,2,1,8,10,2,2,2,1,2,2,3,3,1,1,1,5,2,2,2,2,2
767,6,1,1,1,1,1,1,5,8,2,2,2,1,2,2,4,3,1,1,2,2,2,2,2,2,2
769,5,1,1,2,1,1,2,7,5,2,2,2,1,2,2,4,5,1,1,2,2,2,2,2,2,2
770,3,1,1,2,1,2,1,7,8,1,1,2,1,2,2,4,5,1,5,2,4,1,2,2,1,2
775,2,1,1,1,1,1,1,7,6,2,1,1,1,2,2,3,5,1,1,1,4,1,2,2,2,2
777,6,2,1,2,2,1,1,8,8,1,2,1,2,2,2,3,5,1,1,2,3,2,2,1,1,1
778,3,2,12,1,1,1,2,8,8,1,1,1,1,2,2,3,5,1,1,2,2,2,1,1,1,1
789,5,1,1,1,1,1,2,7,6,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,2,1
791,5,2,1,1,1,1,1,7,6,1,2,2,1,2,1,3,4,1,1,2,2,2,2,2,1,2
793,3,1,1,1,1,1,2,8,6,1,2,2,1,2,2,4,5,1,1,1,2,1,2,2,2,2
794,6,1,1,1,1,1,1,7,6,2,2,2,1,2,2,5,5,1,1,2,3,2,2,2,1,2
797,4,2,12,2,2,2,2,7,5,1,1,2,2,2,2,3,5,3,5,2,2,1,2,1,2,2
